Key,english
goDifficultyPS,[4FC3F7]Difficulty![-]
goDifficultyPSDesc,"[4FC3F7]Casual[-] - Enemy HP: 80%.\nPlayer Damage Taken: 80%.\n\n[4FC3F7]Nomad[-] - Enemy HP: 100%.\nPlayer Damage Taken: 100%.\n\n[4FC3F7]Warrior[-] - Enemy HP: 135%.\nPlayer Damage Taken: 150%.\n\n[4FC3F7]Survivalist[-] - Enemy HP: 170%.\nPlayer Damage Taken: 200%.\n\n[4FC3F7]Insane[-] - Enemy HP: 205%.\nPlayer Damage Taken: 250%.\n\n[4FC3F7]Masochist[-] - Enemy HP: 240%.\nPlayer Damage Taken: 300%."
goDifficulty1PS,Casual
goDifficulty2PS,Nomad
goDifficulty3PS,Warrior
goDifficulty4PS,Survivalist
goDifficulty5PS,Insane
goDifficulty6PS,Masochist

ttLevelUp,"[4FC3F7]OOGA BOOGA, ME FEEL STRONGER![-]\nLevel {0} with {1} skill points to spend."
reqLevel10,"Requires Player Level 10"
reqLevel15,"Requires Player Level 15"
reqLevel20,"Requires Player Level 20"
reqLevel25,"Requires Player Level 25"
reqLevel30,"Requires Player Level 30"
reqLevel40,"Requires Player Level 40"
reqLevel50,"Requires Player Level 50"
reqPainToleranceLevel05,"Requires Pain Tolerance Level 5"
attPerceptionDescPS,"Starting Headshot Damage: 200%.\nStarting Dismember Chance: 10%.\nStarting Effective Range: 100%."
attPerceptionRank01LongDescPS,"Each level in Perception gives:\nHeadshot Damage with all weapons/tools +10%.\nDismember Chance with all weapons/tools +4%.\nEffective Range with ranged weapons +5%."
attStrengthDescPS,"Starting Encumberance: 20.\nStarting Melee Entity/Block Damage: 100%."
attStrengthRank01LongDescPS,"Each level in Strength gives:\nEncumberance +1.\nMelee Entity/Block Damage +5%."
attFortitudeDescPS,"Starting Max Health: 100.\nStarting Damage Mitigation: 0%.\nStarting Stamina Regeneration (Running/Swimming): 100%."
attFortitudeRank01LongDescPS,"Each level in Fortitude gives:\nMax Health +5.\nDamage Mitigation +1%.\nStamina Regeneration (Running/Swimming): +1%."
attAgilityDescPS,"Starting Max Stamina: 100.\nStarting Attack Speed: 100%.\nStarting Reload Speed: 100%."
attAgilityRank01LongDescPS,"Each level in Agility gives:\nMax Stamina +5.\nAttack Speed +1%.\nReload Speed +2%."
attIntellectDescPS,"Starting EXP Gain: 100%. Starting Crafting Quality: 5."
attIntellectRank1LongDescPS,"Each level in Intellect gives:\nEXP Gain +3%.\nCrafting Quality +10."
perkLuckyLooterNamePS,"Lucky Looter + Treasure Hunter"
perkLuckyLooterDescPS,"Two-In-One: As well as finding better loot in general, you will also gain treasure chest bonus with this perk.\nEach level will also add +10% Loot Quantity in treasure chests and 1 less block dug up to shrink treasure radius."
perkLuckyLooterRank1LongDescPS,"Adds 5% to loot bonus for containers that you open personally. Looting is 15% faster.\n\nFor every 9 blocks dug up the treasure search radius is reduced by 1m. Without the perk you have to dig up 10 blocks each.\nFind 10% more items in buried treasure."
perkLuckyLooterRank2LongDescPS,"Adds 10% to loot bonus. Looting is 30% faster.\n\nFor every 8 blocks dug up the treasure search radius is reduced by 1m.\nFind 20% more items in buried treasure."
perkLuckyLooterRank3LongDescPS,"Adds 15% to loot bonus. Looting is 45% faster.\n\nFor every 7 blocks dug up the treasure search radius is reduced by 1m.\nFind 30% more items in buried treasure."
perkLuckyLooterRank4LongDescPS,"Adds 20% to loot bonus. Looting is 60% faster.\n\nFor every 6 blocks dug up the treasure search radius is reduced by 1m.\nFind 40% more items in buried treasure."
perkLuckyLooterRank5LongDescPS,"Adds 25% to loot bonus. Looting is 80% faster.\n\nFor every 5 blocks dug up the treasure search radius is reduced by 1m.\nFind 50% more items in buried treasure."
perkJavelinMasterRank1LongDescPS,"Spears inflict 10% more base damage and power attacks have a 20% chance to slow enemies. Stamina costs are reduced by 5% and 7.5% for power attacks. Lowers Quality Loss on Repair by 10%. Find more spears in loot."
perkJavelinMasterRank2LongDescPS,"Spears inflict 20% more base damage and power attacks have a 40% chance to slow enemies. Stamina costs are reduced by 10% and 15% for power attacks. Lowers Quality Loss on Repair by 20%. Find more spears in loot."
perkJavelinMasterRank3LongDescPS,"Spears inflict 30% more base damage and power attacks have a 60% chance to slow enemies. Stamina costs are reduced by 15% and 22.5% for power attacks. Killing blows grant 10 stamina. Lowers Quality Loss on Repair by 30%. Find more spears in loot."
perkJavelinMasterRank4LongDescPS,"Spears inflict 40% more base damage and power attacks have a 80% chance to slow enemies. Stamina costs are reduced by 20% and 30% for power attacks. Killing blows grant 20 stamina. Lowers Quality Loss on Repair by 40%. Find more spears in loot."
perkJavelinMasterRank5LongDescPS,"Spears inflict 50% more base damage and power attacks have a 100% chance to slow enemies. Stamina costs are reduced by 25% and 37.5% for power attacks. Killing blows grant 30 stamina. Lowers Quality Loss on Repair by 50%. Find more spears in loot."
perkPummelPeteRank1LongDescPS,"Clubs inflict 10% more base damage, attacks do 20% more base damage to stunned enemies, and power attacks have a 30% chance to knock foes down. Stamina reduced by 5% and power attacks by 7.5%. Lowers Quality Loss on Repair by 10%. Find more clubs in loot."
perkPummelPeteRank2LongDescPS,"Clubs inflict 20% more base damage, attacks do 40% more base damage to stunned enemies, and power attacks have a 40% chance to knock foes down. Stamina reduced by 10% and power attacks by 15%. Lowers Quality Loss on Repair by 20%. Find more clubs in loot."
perkPummelPeteRank3LongDescPS,"Clubs inflict 30% more base damage, attacks do 60% more base damage to stunned enemies, and power attacks have a 50% chance to knock foes down. Stamina reduced by 15% and power attacks by 22.5%. Killing blows grant 10 stamina. Lowers Quality Loss on Repair by 30%. Landing 5 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs in loot."
perkPummelPeteRank4LongDescPS,"Clubs inflict 40% more base damage, attacks do 80% more base damage to stunned enemies, and power attacks have a 60% chance to knock foes down. Stamina reduced by 20% and power attacks by 30%. Killing blows grant 20 stamina. Lowers Quality Loss on Repair by 40%. Landing 4 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs in loot."
perkPummelPeteRank5LongDescPS,"Clubs inflict 50% more base damage, attacks do 100% more base damage to stunned enemies, and power attacks have a 70% chance to knock foes down. Stamina reduced by 25% and power attacks by 37.5%. Killing blows grant 30 stamina. Lowers Quality Loss on Repair by 50%. Landing 3 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs in loot."
perkSkullCrusherRank1LongDescPS,"Sledgehammers inflict 10% more base damage. Power attacks have a 20% chance to knock down enemies. Stamina costs are reduced by 5% and 7.5% for power attacks. Lowers Quality Loss on Repair by 10%. Find more sledgehammers in loot."
perkSkullCrusherRank2LongDescPS,"Sledgehammers inflict 20% more base damage. Power attacks have a 30% chance to knock down enemies. Stamina costs are reduced by 10% and 15% for power attacks. Lowers Quality Loss on Repair by 20%. Find more sledgehammers in loot."
perkSkullCrusherRank3LongDescPS,"Sledgehammers inflict 30% more base damage. Power attacks have a 40% chance to knock down enemies and a 20% chance to knock down nearby foes. Stamina costs are reduced by 15% and 22.5% for power attacks. Killing blows grant 10 stamina. Lowers Quality Loss on Repair by 30%. Find more sledgehammers in loot."
perkSkullCrusherRank4LongDescPS,"Sledgehammers inflict 40% more base damage. Power attacks have a 50% chance to knock down enemies and a 30% chance to knock down nearby foes. Stamina costs are reduced by 20% and 30% for power attacks. Killing blows grant 20 stamina. Lowers Quality Loss on Repair by 40%. Find more sledgehammers in loot."
perkSkullCrusherRank5LongDescPS,"Sledgehammers inflict 50% more base damage. Power attacks have a 60% chance to knock down enemies and a 40% chance to knock down nearby foes. Stamina costs are reduced by 25% and 37.5% for power attacks. Killing blows grant 30 stamina. Lowers Quality Loss on Repair by 50%. Find more sledgehammers in loot."
perkBrawlerRank1LongDescPS,"Knuckle weapons inflict 10% more base damage. Punches to the head negate infection ability. Stamina costs are reduced by 5% and 7.5% for power attacks. Lowers Quality Loss on Repair by 10%. Find more knuckle weapons in loot."
perkBrawlerRank2LongDescPS,"Knuckle weapons inflict 20% more base damage and have a 30% chance to stagger opponents with power attacks. Stamina costs are reduced by 10% and 15% for power attacks. Lowers Quality Loss on Repair by 20%. Find more knuckle weapons in loot."
perkBrawlerRank3LongDescPS,"Knuckle weapons inflict 30% more base damage. Power attacks to the head have a 20% chance to knock down your opponent. Stamina costs are reduced by 15% and 22.5% for power attacks. Killing blows grant 10 stamina. Lowers Quality Loss on Repair by 30%. Find more knuckle weapons in loot."
perkBrawlerRank4LongDescPS,"Knuckle weapons inflict 40% more base damage. Power attacks to the head have a 30% chance to knock down your opponent. Stamina costs are reduced by 20% and 30% for power attacks. Killing blows grant 20 stamina. Lowers Quality Loss on Repair by 40%. Find more knuckle weapons in loot."
perkBrawlerRank5LongDescPS,"Knuckle weapons inflict 50% more base damage. You have an extra 20% base chance to explode heads with punches. Stamina costs are reduced by 25% and 37.5% for power attacks. Killing blows grant 30 stamina. Lowers Quality Loss on Repair by 50%. Find more knuckle weapons in loot."
perkDeepCutsRank1LongDescPS,"Knives inflict 10% more base damage. Inflict up to 1 Bleeding Wound on an enemy. A power attack inflicts 1 Bleeding Wound. Every attack refreshes the duration on bleeding. Stamina costs are reduced by 5% and 7.5% for power attacks. Lowers Quality Loss on Repair by 10%. Find more knives in loot."
perkDeepCutsRank2LongDescPS,"Knives inflict 20% more base damage. Inflict up to 2 Bleeding Wounds on an enemy. A power attack inflicts 1 Bleeding Wound. Enemies run 5% slower while bleeding. Every attack refreshes the duration on bleeding. Stamina costs are reduced by 10% and 15% for power attacks. Lowers Quality Loss on Repair by 20%. Find more knives in loot."
perkDeepCutsRank3LongDescPS,"Knives inflict 30% more base damage. Inflict up to 3 Bleeding Wounds on an enemy. A power attack inflicts 1 Bleeding Wound. Glancing power attacks have a 40% chance to inflict 1 Bleeding Wound. Enemies run 10% slower while bleeding. Killing blows grant 10 stamina. Every attack refreshes the duration on bleeding. Stamina costs are reduced by 15% and 22.5% for power attacks. Lowers Quality Loss on Repair by 30%. Find more knives in loot."
perkDeepCutsRank4LongDescPS,"Knives inflict 40% more base damage. Inflict up to 4 Bleeding Wounds on an enemy. A power attack inflicts 1 Bleeding Wound. Glancing power attacks have a 70% chance to inflict 1 Bleeding Wound. Enemies run 15% slower while bleeding. Killing blows grant 20 stamina. Every attack refreshes the duration on bleeding. Stamina costs are reduced by 20% and 30% for power attacks. Lowers Quality Loss on Repair by 40%. Find more knives in loot."
